overlay_0: x=24, y=33, width=174, height=104
overlay_1: x=242, y=33, width=168, height=104
overlay_2: x=440, y=33, width=192, height=104
overlay_3: x=660, y=35, width=134, height=101
overlay_4: x=816, y=33, width=193, height=104
overlay_5: x=18, y=172, width=190, height=110
overlay_6: x=237, y=171, width=160, height=111
overlay_7: x=438, y=171, width=160, height=109
overlay_8: x=647, y=177, width=137, height=104
overlay_9: x=814, y=171, width=184, height=111
overlay_10: x=22, y=318, width=183, height=96
overlay_11: x=248, y=315, width=147, height=99
overlay_12: x=433, y=315, width=188, height=99
overlay_13: x=642, y=315, width=143, height=97
overlay_14: x=819, y=315, width=177, height=99
overlay_15: x=22, y=461, width=182, height=95
overlay_16: x=243, y=461, width=150, height=96
overlay_17: x=438, y=461, width=180, height=97
overlay_18: x=662, y=461, width=131, height=94
overlay_19: x=820, y=461, width=184, height=97
overlay_20: x=16, y=608, width=192, height=99
overlay_21: x=250, y=608, width=143, height=99
overlay_22: x=427, y=608, width=190, height=97
overlay_23: x=651, y=608, width=138, height=97
overlay_24: x=823, y=608, width=180, height=99
overlay_25: x=22, y=756, width=175, height=95
overlay_26: x=251, y=756, width=146, height=92
overlay_27: x=437, y=756, width=179, height=95
overlay_28: x=657, y=756, width=127, height=94
overlay_29: x=821, y=756, width=180, height=95
overlay_30: x=29, y=897, width=175, height=90
overlay_31: x=250, y=897, width=141, height=90
overlay_32: x=435, y=897, width=177, height=90
overlay_33: x=653, y=903, width=163, height=84
overlay_34: x=840, y=898, width=158, height=89
